,k3,thk,ksnf1,ksnf1std1,nsnf1,nsnf2,dmth1,nmth1snf3,nmth1rgt2,thsnf3,dmth1rgt2,thmth1,kmth1mig1,nmth1mig1,kmth1mig2,nmth1mig2,thstd1,istd1,nstd1,nstd3,thrgt2,imig1,kmig1snf1,theta2,dmig2,kmig2std1,nmig2std1,kmig2mth1,nmig2mth1,dhxt4,dhxt4max,kdhxt4,ndhxt4,shxt4,khxt4mth1,nhxt4mth1,khxt4std1,nhxt4std1,khxt4mig1,khxt4mig2,nhxt4mig1,nhxt4mig2,estd1max3,ell,thmig2,smig2,kdmig2,mdmig2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
k3,0.0,4140.161939296521,4140.174172772393,4140.155766946762,4140.195478503207,4140.195753383528,4140.137326741399,4140.199764342659,4140.157406268979,4140.164539525291,4140.1604709916755,4140.150827209544,4140.167831830428,4140.180869154853,4140.1601062846785,4140.173179269526,4140.181763334242,4140.162995025688,4140.244561766616,4140.153892713936,4140.163276366713,4140.143349270312,4140.155336826354,4140.15975002962,4140.177132480399,4140.172220223448,4140.159705659005,4140.17699208739,4140.172758143925,4140.169561879793,4140.165675047789,4140.159750168281,4140.159750168281,4140.169117698662,4140.180646300041,4140.154907823837,4140.14971114249,4140.159597392221,4140.174739411349,4140.180306555761,4140.139801851718,4140.178808280122,4140.115244090802,4140.186873468176,4140.140397714963,4140.175076874831,4140.177502532851,4140.181965708167,4140.1582436596445,4140.15972893091,4140.159622614432,4140.159750161588,4140.159686005266,4140.1594110970955,4140.160053609596,4140.159422727383,4140.1596659543075,4140.159954869173,4140.159825555311,4140.194649161043,4140.157391895451,4140.163776351116,4140.162314205426,4140.159630379303,4140.16002020123,4140.160233594789,4140.157653309552,4140.160075998159,4140.159724718475
thk,0.0,0.0,2285.284680430846,2285.2894177972266,2285.2836930927538,2285.2928267800035,2285.288517004159,2285.306810536366,2285.2848656006936,2285.2866058267614,2285.2837285846003,2285.287272611262,2285.286530583112,2285.2926001516457,2285.2809730698687,2285.2827350221255,2285.287673625471,2285.2823543037703,2285.2718792688383,2285.2876260221383,2285.282855549092,2285.284756227132,2285.2886476191516,2285.2827171078034,2285.2800637072073,2285.2868381089966,2285.2818556696725,2285.2856217580875,2285.283267314328,2285.2887979207517,2285.2857723818724,2285.282717114557,2285.282717114557,2285.2855637031535,2285.288378461786,2285.289243108221,2285.2820309060976,2285.2863012162334,2285.2945002126908,2285.2899098859725,2285.283814662161,2285.282104010724,2285.294258375913,2285.267927734544,2285.2770304630903,2285.2810815010207,2285.282364624606,2285.2810312822153,2285.282177583597,2285.2827234680326,2285.282784296157,2285.2827171189488,2285.282743867989,2285.282382719993,2285.282727380809,2285.28271837619,2285.2830110451687,2285.2826840415582,2285.2827582399855,2285.281216696378,2285.2845017918703,2285.2827374468575,2285.2831291664675,2285.2826907161243,2285.2822873458017,2285.2829615534024,2285.283901232248,2285.2827815834785,2285.282714509144
ksnf1,0.0,0.0,0.0,543.9775645973713,543.9809288696357,543.9852250624954,543.9536595486329,543.9566959374251,543.9588076413607,543.9510586166745,543.9530319255335,543.9679142619373,543.9514564577937,543.9475563738164,543.9533418270059,543.9567205623557,543.9556983898382,543.9645010462057,543.949019299449,543.9433146050078,543.9548926429824,543.9384073415829,543.9528103443602,543.9538203538726,543.9439163199804,543.9535962992768,543.9538368968352,543.9655445525153,543.9559156689178,543.9590055721902,543.9633717101417,543.9538203573004,543.9538203573004,543.957296681413,543.9739652434121,543.9653728289701,543.9547033576474,543.9498524479641,543.9862068152161,543.9643960918431,543.9849773999935,543.9562515134741,543.9767729043123,543.940853843206,543.9360422172778,543.9453294362902,543.9626560053108,543.963663943248,543.9532494478622,543.9538509839828,543.953850256728,543.9538203639095,543.9537433482633,543.9547003646165,543.9538413823315,543.9538996084425,543.9539148182009,543.9538546026004,543.9538737977958,543.9548053899696,543.9668876649603,543.952060620479,543.9552096501823,543.9539379376229,543.9529765462615,543.953647072644,543.9524102536209,543.9537822608968,543.9538227067347
ksnf1std1,0.0,0.0,0.0,0.0,-640.8638852492668,-640.8491799411418,-640.8691703157843,-640.8429367038746,-640.8744616327201,-640.8789692033703,-640.8771935762661,-640.8696107842563,-640.8709811157835,-640.8742880137219,-640.8786280457425,-640.8773950084025,-640.8662249970209,-640.8653698781209,-640.8696666515665,-640.8418417323728,-640.8720947567856,-640.879508790314,-640.8896920725418,-640.8757367102919,-640.8768247418121,-640.8651938609211,-640.8751663562479,-640.8595144885477,-640.8785629313737,-640.8810389935791,-640.8716050040989,-640.8757367035388,-640.8757367035388,-640.8784027542986,-640.8208317513122,-640.8676874026793,-640.8785168955967,-640.8784433716218,-640.8452612113753,-640.8730256341593,-640.8455767212034,-640.8617835668886,-640.8589016906587,-640.8751818711764,-640.8681519024151,-640.8706948509076,-640.8648043595108,-640.8688358619896,-640.8749539488691,-640.8757418149349,-640.8757923988103,-640.8757366936043,-640.875742494692,-640.875432536974,-640.8757010079495,-640.8759039222099,-640.8754139239694,-640.8755559011909,-640.8756656339873,-640.8752734494773,-640.8681856942849,-640.8718191770546,-640.8768045822998,-640.8757389362864,-640.8756906429609,-640.8757266078788,-640.8794628266965,-640.8758733304495,-640.8757493538776
nsnf1,0.0,0.0,0.0,0.0,0.0,-5981.318092533821,-5981.324755439503,-5981.333632519498,-5981.320369939799,-5981.330947171007,-5981.325281510414,-5981.322684777277,-5981.31437292275,-5981.31348539778,-5981.322928765569,-5981.325183632125,-5981.321500253276,-5981.306747390276,-5981.31861233729,-5981.31431346346,-5981.325531127561,-5981.348775187866,-5981.323737809413,-5981.322641126664,-5981.333105670101,-5981.320457575819,-5981.322533790293,-5981.305685153095,-5981.3151650731625,-5981.333590026366,-5981.32080078654,-5981.322641130995,-5981.322641130995,-5981.342149019257,-5981.305807604379,-5981.331733924694,-5981.314713473765,-5981.331925885653,-5981.307640585998,-5981.3172592773335,-5981.321407066835,-5981.3253499709135,-5981.302118869763,-5981.325771844379,-5981.328030247799,-5981.32260215046,-5981.324877515721,-5981.323094492339,-5981.322446845839,-5981.322654154627,-5981.322612859905,-5981.322641108867,-5981.32266940518,-5981.322553164232,-5981.322619062897,-5981.322590221132,-5981.322871122766,-5981.32252211237,-5981.322578461405,-5981.316100955918,-5981.3154934695385,-5981.320173217507,-5981.321434516769,-5981.322574092325,-5981.323147389502,-5981.322451451518,-5981.3192745740525,-5981.322694424479,-5981.322660265865
nsnf2,0.0,0.0,0.0,0.0,0.0,0.0,1392.5423168292543,1392.5409436472714,1392.5611956600371,1392.547181660723,1392.5655826517368,1392.5612179261848,1392.5585775255743,1392.5524710661132,1392.5535857638172,1392.5639063657063,1392.5457996635287,1392.5189193786741,1392.5416392458465,1392.567463670641,1392.5523700938118,1392.5516591663954,1392.547815898674,1392.5558977369176,1392.540654329225,1392.5353625321286,1392.5552392712539,1392.573503287559,1392.5513286335586,1392.5512596081496,1392.5556000285624,1392.555897758081,1392.555897758081,1392.5562473711002,1392.538681033067,1392.548925939148,1392.5464471098,1392.553880860077,1392.5649080397795,1392.545218274546,1392.5705425902659,1392.570235297721,1392.4888641277346,1392.5144136606,1392.5221764600503,1392.5472483174487,1392.564661312518,1392.5584393554652,1392.552711516521,1392.5559106747892,1392.5559571150143,1392.5558977791,1392.555770531063,1392.5565184340433,1392.5559564465977,1392.5557828147046,1392.5553769467401,1392.556047976721,1392.5559725554062,1392.5612842054265,1392.5440789925606,1392.559368907196,1392.5572588593263,1392.5559971329442,1392.5554638037552,1392.5564774992704,1392.5518235907532,1392.555887409927,1392.5558480705406
dmth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.6538267036767,2123.65998531354,2123.6462737405523,2123.655719884857,2123.65112637508,2123.6534379745895,2123.6475869335936,2123.6524688743743,2123.653274322857,2123.6473953686277,2123.6506987781345,2123.664030161946,2123.663589720509,2123.653555659538,2123.640498339429,2123.6486369040754,2123.654838891231,2123.6523005273207,2123.65985970588,2123.6553281021784,2123.667810050749,2123.6499651933837,2123.648116179771,2123.6590157896158,2123.654838906852,2123.654838906852,2123.653065113129,2123.64467159737,2123.650381213695,2123.6567342488797,2123.6524453407396,2123.6719553520525,2123.6558743357677,2123.6620466849004,2123.6564479663953,2123.6448717929375,2123.6585619191596,2123.668293801277,2123.641772378931,2123.6629246460247,2123.6486026164944,2123.6561156120697,2123.6548288771887,2123.6549815595235,2123.6548389256536,2123.6547236180213,2123.654726728847,2123.6549968951513,2123.6548086414723,2123.6551534405367,2123.6549126479326,2123.6548667062925,2123.6542755565897,2123.6677096478743,2123.653199519598,2123.6591740700082,2123.6547611453925,2123.6542142951257,2123.6548268575616,2123.6534023385275,2123.6546665850933,2123.6548423093295
nmth1snf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3182.786866022922,-3182.7774923678458,-3182.7795986081537,-3182.7690090112314,-3182.78862454913,-3182.7639033027694,-3182.7852689361366,-3182.7855104245846,-3182.781271066492,-3182.7968498050154,-3182.786822617786,-3182.7961563317094,-3182.784676210151,-3182.783091695667,-3182.786802667874,-3182.784555362208,-3182.7829393831516,-3182.8087354996283,-3182.784585276198,-3182.773651544289,-3182.7898146479956,-3182.773577547937,-3182.778292543211,-3182.7845553388274,-3182.7845553388274,-3182.7915792260005,-3182.768460516666,-3182.772540056768,-3182.7707925437962,-3182.77653011941,-3182.788061227034,-3182.7833442068363,-3182.7656762820156,-3182.7775440077507,-3182.825020146932,-3182.8376545401907,-3182.809777982992,-3182.7842658436834,-3182.7731520039256,-3182.790691894884,-3182.785865325166,-3182.784546869288,-3182.7845765829506,-3182.784555328893,-3182.784536331361,-3182.7842097455323,-3182.7845148236247,-3182.784671584652,-3182.784591907572,-3182.7845517526116,-3182.7844058729606,-3182.778838573913,-3182.7796801252343,-3182.783154464315,-3182.788675500677,-3182.7846093802054,-3182.784100715117,-3182.7841202115437,-3182.7831237814144,-3182.7844385369704,-3182.784582607627
nmth1rgt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.2325795316729,-392.2333318163463,-392.22783955949575,-392.23326831946355,-392.23035872822044,-392.2358828921096,-392.23525713718175,-392.2334337711897,-392.23811724528844,-392.23892865987733,-392.2350546004118,-392.23407903200336,-392.23718051220607,-392.2336521120319,-392.2345665616378,-392.2344373214566,-392.227548175616,-392.23440667174685,-392.23407640369794,-392.2324563044603,-392.2348571361315,-392.23364628776517,-392.23456656929454,-392.23456656929454,-392.229924647987,-392.2371765171943,-392.22931910453184,-392.23518206311314,-392.2326496360701,-392.22664701672494,-392.233671986606,-392.2345632070183,-392.23178049978225,-392.231527466776,-392.23401138000594,-392.24188680488504,-392.23428017342366,-392.23170142837773,-392.23615967838685,-392.23387412141625,-392.2345617255502,-392.2345613243858,-392.23456656822793,-392.2345646244577,-392.2344805800357,-392.23455514691136,-392.2345490409104,-392.2345177173698,-392.2345825186978,-392.234528341398,-392.2337045066083,-392.23201052433416,-392.23321466019513,-392.2342288467345,-392.23459471799606,-392.2342958623984,-392.234519179269,-392.23298111678264,-392.2345634562275,-392.2345690006777
thsnf3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.89772611183054,-160.90003034832512,-160.8980459671111,-160.90375336632567,-160.90053298182983,-160.90231071217147,-160.90569127309436,-160.90648610815688,-160.89914586222275,-160.90697535009835,-160.89898782235977,-160.9051983435862,-160.9018774650271,-160.90027165903544,-160.9012873885897,-160.89896654153875,-160.90011570531,-160.9033252118626,-160.90518943284818,-160.90285176730126,-160.90166938990527,-160.90027167001756,-160.90027167001756,-160.903180192351,-160.89858505976744,-160.90779358999401,-160.89991803905917,-160.90527561229632,-160.89739027869317,-160.89975222464483,-160.89691788476682,-160.90100456031672,-160.9038188079554,-160.90160521617878,-160.91310801224924,-160.90156851170843,-160.9057362581667,-160.90394946599804,-160.90021531692952,-160.9002710894367,-160.90028057801328,-160.90027168446952,-160.9002747853317,-160.90000806003636,-160.90028983815597,-160.9002693697505,-160.89986191681626,-160.90024430940534,-160.90023146129073,-160.9022840879097,-160.89790601864283,-160.90099708869494,-160.90066067825376,-160.90032474702926,-160.89998197508498,-160.90029184991218,-160.90012342675766,-160.90037205449707,-160.9002681323069
dmth1rgt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.98228417685823,322.97875739408465,322.9818548826461,322.9796463258972,322.9790337770752,322.9749754241658,322.97568550905083,322.97384708554796,322.9782897618863,322.9791719275556,322.9702171672757,322.98170841727796,322.9790035077817,322.9746101435011,322.97816822906526,322.9783631256456,322.97827575111006,322.97803883367607,322.9846948875179,322.9780735432569,322.97900351010117,322.97900351010117,322.9801250150719,322.9782128555307,322.9841587725939,322.9767329644814,322.98056737336725,322.9782768020384,322.9792156906898,322.9779717771979,322.97628124443315,322.97819974328644,322.9739987118731,322.9685545282721,322.9733806095247,322.976971716204,322.97403059147064,322.9788310113476,322.9790081266098,322.9790337265503,322.97900351227617,322.9790012649335,322.9788791977105,322.97901274215394,322.979034826704,322.97900521782384,322.97901059131294,322.9790099892911,322.97923319801174,322.97916556824435,322.97992656114906,322.98056008503534,322.97896345757454,322.9788740748872,322.9791626080869,322.9800761736714,322.9790026426639,322.9790079634054
thmth1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.1637495040478,742.1629887865291,742.1641028501901,742.1647151472223,742.1576710458359,742.1708557176021,742.1675383034074,742.1627244992637,742.1628374066992,742.1586553996963,742.1572183008416,742.161266556928,742.1671105088584,742.1732132994724,742.1614528937288,742.170901543921,742.1644194634863,742.1628851923746,742.1676144851153,742.161266576983,742.161266576983,742.1614431672003,742.1789467261661,742.161891099976,742.1603639802834,742.1647920662598,742.1689986578857,742.165359363549,742.163472473905,742.1639099823823,742.161508650825,742.1872368120089,742.1669511256865,742.1664476619138,742.165562055766,742.1643304462424,742.1615068790304,742.1612877185149,742.1613471920928,742.1612665636395,742.1612281680855,742.1613688773309,742.1612560661333,742.1612609605801,742.1617878208849,742.1613313849296,742.1613210683046,742.1664674747432,742.1655569590505,742.1608097132117,742.1627154421968,742.1611897078395,742.1617896330004,742.1612563156494,742.1599438182716,742.1612284517591,742.1612645790103
kmth1mig1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-272.7608291524499,-272.7577135391291,-272.75636225830846,-272.751093436048,-272.75127142706316,-272.76191961781313,-272.7511238337587,-272.75628686700213,-272.7688509537416,-272.7589412497811,-272.75712663524473,-272.75881100084973,-272.74697651566646,-272.75679588406206,-272.7578376662606,-272.75933095988745,-272.7566275268949,-272.76304181509727,-272.75712664844383,-272.75712664844383,-272.7591105819798,-272.76617641831007,-272.7647703290658,-272.75785299892027,-272.7602282178056,-272.7454227280941,-272.7614871572817,-272.7550795393931,-272.7570755811305,-272.7513640097072,-272.75740300324804,-272.76544044939624,-272.75902784952007,-272.7577921805073,-272.75246698380215,-272.7576601205242,-272.7571147792369,-272.75715326308836,-272.757126639618,-272.7570815997664,-272.75714282213744,-272.7571738639552,-272.7571111662894,-272.7562670993616,-272.75712252129614,-272.75712663937463,-272.76464860309426,-272.75038554601065,-272.75629002122804,-272.75612849137934,-272.75713622810923,-272.75759614354115,-272.75705429020337,-272.7566679502323,-272.75720360880257,-272.7571366761501
nmth1mig1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.464289049758,1571.4657037260126,1571.4633757407912,1571.4589434042591,1571.474282675944,1571.4616734470173,1571.4661947203244,1571.4499292345456,1571.4602649943538,1571.4649719102895,1571.4672664572583,1571.464578864385,1571.4649137669749,1571.4677937093302,1571.4641167094746,1571.4623463914636,1571.47047957075,1571.464971908175,1571.464971908175,1571.4652618823545,1571.4663160941818,1571.4638371513404,1571.4637953915897,1571.461789604741,1571.476314909513,1571.4653444140786,1571.4708831813148,1571.463849654497,1571.4653223945052,1571.460020692124,1571.469837541548,1571.464777418996,1571.4644569269658,1571.4673945881307,1571.4640082955473,1571.4649738588207,1571.4649843503587,1571.464971903699,1571.4648818513745,1571.4650530855795,1571.4648930248752,1571.4649546761484,1571.4652592123725,1571.4649887272676,1571.4650592345006,1571.4636827571203,1571.4747103159602,1571.4659761167293,1571.4672606099216,1571.464980117185,1571.464201269247,1571.4650845026524,1571.4654106207297,1571.4649428923315,1571.4649694845511
kmth1mig2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-308.566039066865,-308.56746238908914,-308.5608940260506,-308.57195132308135,-308.57030928347893,-308.564837254907,-308.5701673808,-308.565928946665,-308.5650433182138,-308.56592299898546,-308.5650625569625,-308.5647243710941,-308.5632983691889,-308.56754124800403,-308.5672795434946,-308.56549745894824,-308.5650433170028,-308.5650433170028,-308.5679666440192,-308.56972544828477,-308.56795966266765,-308.56571245950664,-308.56790237488633,-308.5681371093931,-308.56649099896146,-308.5675133787096,-308.56503185742577,-308.56896589375975,-308.56803002170403,-308.57514350644703,-308.568559845755,-308.5660090163373,-308.5647766548829,-308.56473192454456,-308.56503748450615,-308.56502016813823,-308.5650432837907,-308.565082974034,-308.565237874044,-308.56504117581227,-308.56504676967853,-308.5650157542916,-308.5650456156372,-308.56499959000234,-308.5658261015726,-308.56556946710856,-308.5655776770145,-308.5647294741434,-308.56502819891915,-308.5655349914127,-308.56499668184324,-308.5650608294366,-308.56503636642367,-308.56504692668614
